Timestamp,Minute,Game Phase,Post,Post Size,Team,Notes,Highlight?,Status,Notes-old
5/2/2026 21:29:36,86,2nd Half,Tomás tried a crack.  It's blocked for a corner,47,,,,,
5/2/2026 21:30:02,86,2nd Half,Alexey taking the corner.  The crowd cheers him as he is about to take it.,74,,,yes,,
5/2/2026 21:30:17,86,2nd Half,Atlanta take 3 shots in quick succession.,41,,,yes,,
5/2/2026 21:31:13,87,2nd Half,Montréal ball into the box.  Hoyos smothers.,44,,,,,
5/2/2026 21:32:18,88,2nd Half,Montréal with a crack from outside the 18.  Hoyos needs 2 touches to bring i tunder control.,92,,very hard ball,,,
5/2/2026 21:33:10,89,2nd Half,Luke surges down the left.  He has Fortune and Edwards coming but not a great look to either.  He cuts back and has too heavy of a touch in the box.  Montréal clears.,166,,Luke in danger of playing like Saba,,,
5/2/2026 21:34:07,90,2nd Half,Montréal rocket along the pitch.  Hoyos diving to his right for the save 🧤.,76,,,,,
5/2/2026 21:34:29,90,2nd Half,Mihaj knocked to the ground.  Montréal player standing over him.  Sanchez shoves him out of the way.,100,,,yes,,
5/2/2026 21:34:34,90,2nd Half,Someone sees 🟥.  Vera for grabbing Edward's neck.,47,,,yes,,
5/2/2026 21:35:48,92,2nd Half,"Edwards and Sanchez were in the mix, fighting for their teammates.  Love to see this.",85,,,yes,,
5/2/2026 21:36:05,92,2nd Half,Mihaj ends up getting a 🟨.,27,,,,,
5/2/2026 21:36:09,92,2nd Half,5' of stoppage,14,,,,,
5/2/2026 21:36:48,93,2nd Half,Fortune giving Edwards a high-five after the scrum.,51,,,yes,,
5/2/2026 21:38:07,94,2nd Half,That was Cooper Sanchez's 4th 🟨 of the season.  In danger of suspension.,73,,,yes,,
5/2/2026 21:40:49,97,2nd Half,Tomás saw 🟨 at some point,26,,,,,
5/2/2026 21:41:19,97,Final Whistle,and it's over.  Atlanta win 3-1,31,,,,,
5/2/2026 21:42:22,,Post-Game,A complete performance by the five stripes,42,,,,,
5/2/2026 21:43:45,,Post-Game,for the first time in a while - Atlanta players circle the pitch for the crowd,78,,,,,
5/2/2026 21:47:00,,Post-Game,"Player Impressions:
Hoyos - Suddenly having trouble with his distribution, once his strength.  He was making good saves tonight.
Tomás - Good along the back, making good runs.  A solid game with nothing lacking.
Gregersen - He comes out of nowhere to clear breakaways that he has no business getting to.  Is a pain magnet
Mihaj - Very shaky at the start - his giveaway caused the Montréal goal
Amador - had good and bad moments.  
Muyumba - another good night.  Has re-found his form
Sanchez - unstoppable tonight.  Trying to claim and keep the starting spot
Galarza - invisible at times, can make some great flicks
Miranchuk - best match he's ever played.  near perfect on the night.  Is good on and off the ball.  
Saba - Has trouble with the final ball into the box, but what runs tonight.  He played on instinct, was on fire
Latte Lath - Still came too deep at times.  Turned off the jets at times.  But he scored.  A good goal.  Great to see.  The team rallied around him
Fortune - didn't influence the game like he normally does.  missed some easy balls.
Berrocal - didn't influence the game
Edwards - wasn't great, but held the team together emotionally.  Drove the team forward with his rallying
Brennan - Getting into good spots.  Lost the ball a few times.  Given more of a chance, the same balls could have found their targets",1337,,,,,
5/2/2026 21:47:28,,Post-Game,"Edwards, shirtless and flexing, cheering on the gathered crowd as he walks down the tunnel.  Like a gladiator",109,,,,,
5/2/2026 22:06:07,,Post-Game,"MOTM - Alexey, with Saba a close 2nd",36,,,,,
